bill_number,title,primary_subject
S.2110,"A bill to amend title 38, United States Code, to provide for the non-applicability of non-Department of Veterans Affairs covenants not to compete to the appointment of certain Veterans Health Administration personnel, and for other purposes.",Armed Forces and National Security
S.RES.326,"A resolution recognizing the crew of the San Antonio Rose, B-17F, who sacrificed their lives during World War II, and honoring their memory during the week of the 75th anniversary of that tragic event.",Armed Forces and National Security
S.RES.328,"A resolution recognizing November 25, 2017, as ""Small Business Saturday"" and supporting the efforts of the Small Business Administration to increase awareness of the value of locally owned small businesses.",Commerce
S.RES.329,A resolution expressing support for the designation of October 2017 as "National Audiology Awareness Month".,Health
S.RES.327,"A resolution designating the week of November 5 through 12, 2017, as ""National Carbon Monoxide Poisoning Awareness Week"".",Armed Forces and National Security
S.RES.330,"A resolution mandating anti-harassment training for Senators and officers, employees, and interns of, and detailees to the Senate.",Congress
H.RES.614,Celebrating the 99th anniversary of Polish independence.,International Affairs
H.RES.612,Recognizing and reaffirming the critical relationship between the United States and the Republic of Korea since the establishment of the Republic of Korea in 1948.,International Affairs
H.RES.613,Supporting the goal of ensuring that members of the Armed Forces have opportunities to receive career technical education training and credentialing opportunities during their term of service to ensure they can transition directly into in-demand civilian careers.,Armed Forces and National Security
H.R.4334,"To provide for certain reporting requirements relating to medical care for women veterans provided by the Department of Veterans Affairs and through contracts entered into by the Secretary of Veterans Affairs with non-Department medical providers, and for other purposes.",
H.R.4328,To authorize the Secretary of Veterans Affairs to make grants for the rehabilitation of World War I memorials.,Armed Forces and National Security
H.R.4325,"To limit the fees charged by the National Archives and Records Administration to veterans for military service records, and for other purposes.",
H.R.4320,"To amend title 38, United States Code, to establish a presumption of service-connection for certain veterans with tinnitus or hearing loss, and for other purposes.",Armed Forces and National Security
H.R.4332,"To provide that in the case of a law enforcement officer who uses deadly force against a person, and thereby causes the death of that person, a hearing shall be conducted before a judge to determine whether there is probable cause for the State to bring criminal charges against the law enforcement officer relating to the death of the person, and for other purposes.",Crime and Law Enforcement
H.R.4321,"To amend title 38, United States Code, to establish a presumption of service-connection of disabilities relating to blast exposures with respect to disability compensation payments by the Secretary of Veterans Affairs.",Armed Forces and National Security
H.R.4324,"To require the Secretary of the Treasury to make certifications with respect to United States and foreign financial institutions' aircraft-related transactions involving Iran, and for other purposes.",
